Locus	Annotation (TAIR10)	Mapman Category	GO term biological process	Mean Day 0 MD	Mean Day 0 MN	Mean Day 4 MD	Mean Day 4 MN	Mean Day 9 MD	Mean Day 9 MN	Mean Day 12 MD	Mean Day 12 MN	Mean Day 2rek MD	Mean Day 2rek MN
AT3G03780	methionine synthase 2	amino acid metabolism	methionine biosynthetic process; cellular amino acid biosynthetic process; response to salt stress; response to cadmium ion	1519.67	573.33	1620	535.33	1253.67	242.33	1612.33	278.67	1862	328.33
AT5G20980	methionine synthase 3	amino acid metabolism	methionine biosynthetic process; cellular amino acid biosynthetic process	295	119.67	304.67	113	227	57.67	268	55.67	323.67	64
AT1G02500	S-adenosylmethionine synthetase 1	amino acid metabolism	S-adenosylmethionine biosynthetic process; response to salt stress; ethylene biosynthetic process; vacuole organization; gluconeogenesis; coumarin biosynthetic process; water transport; polyamine catabolic process; hyperosmotic response; response to wounding; Golgi organization; response to cadmium ion; phenylpropanoid metabolic process; glycolysis; cysteine biosynthetic process; cellular modified amino acid biosynthetic process; cellular response to iron ion; response to temperature stimulus	942.33	1147.33	1198.67	957	670.67	444.33	502.33	435.33	1028.33	714.33
AT1G31230	aspartate kinase-homoserine dehydrogenase i	amino acid metabolism	aspartate family amino acid biosynthetic process; cellular amino acid metabolic process; cellular amino acid biosynthetic process; maltose metabolic process; starch biosynthetic process; oxidation-reduction process; glucosinolate biosynthetic process; metabolic process; positive regulation of catalytic activity	207.33	93	268.67	102.33	333.67	98.33	223	108	230	78
AT4G19710	aspartate kinase-homoserine dehydrogenase ii	amino acid metabolism	aspartate family amino acid biosynthetic process; cellular amino acid biosynthetic process; cellular amino acid metabolic process; metabolic process; oxidation-reduction process; purine nucleotide biosynthetic process	215.33	98.33	269.33	107.67	330.67	97.67	219.67	106	236	84.33
AT3G48560	chlorsulfuron/imidazolinone resistant 1	amino acid metabolism	branched-chain amino acid biosynthetic process	120.33	300.33	138	329.33	261.67	445.67	289	520.67	148.33	398
AT3G49680	branched-chain aminotransferase 3	amino acid metabolism	branched-chain amino acid metabolic process; toxin catabolic process; metabolic process; second-messenger-mediated signaling	52.67	195.67	55.67	244	67	295.33	77	296.67	49	241.33
AT3G58610	ketol-acid reductoisomerase	amino acid metabolism	purine nucleotide biosynthetic process; glycolysis; cellular amino acid biosynthetic process; branched-chain amino acid biosynthetic process; oxidation-reduction process; response to salt stress; response to cadmium ion; gluconeogenesis	870.33	447	994.33	622.67	1020.67	451.67	948.67	513	779	475.67
AT1G18500	methylthioalkylmalate synthase-like 4	amino acid metabolism	carboxylic acid metabolic process; leucine biosynthetic process	190	324.33	198.33	294.33	256.67	292.33	301	306.67	245.33	356.67
AT1G23310	glutamate:glyoxylate aminotransferase	amino acid metabolism	cysteine biosynthetic process; hydrogen peroxide catabolic process; photorespiration; 1-aminocyclopropane-1-carboxylate biosynthetic process; cellular lipid catabolic process; water transport; response to salt stress; response to fructose stimulus; biosynthetic process; response to hypoxia	2777.33	3476.33	2558.67	3322	2501	4596	2052.67	4406	3044.67	5012
AT4G31990	aspartate aminotransferase 5	amino acid metabolism	response to cadmium ion; biosynthetic process; cellular amino acid metabolic process; ethylene biosynthetic process; response to cold	182	269.33	241.33	359.33	261.67	159.33	179.33	94.33	256.33	278.33
AT1G17650	glyoxylate reductase 2	amino acid metabolism	pentose-phosphate shunt; oxidation-reduction process	129	173.67	125.33	248.67	166	412	147	319.67	95.33	168.33
AT4G24830	arginosuccinate synthase family	amino acid metabolism	arginine biosynthetic process; threonine catabolic process; nucleotide biosynthetic process	278.67	505	279.33	571.67	388	485.67	396.33	553.33	276.33	409.67
AT2G39800	delta1-pyrroline-5-carboxylate synthase 1	amino acid metabolism	response to water deprivation; response to desiccation; response to salt stress; proline biosynthetic process; hyperosmotic salinity response; response to abscisic acid stimulus; pollen development; response to oxidative stress; root development	164.67	83.67	202.33	104	1271.33	42.33	1881	66.33	201.33	58
AT5G63890	histidinol dehydrogenase	amino acid metabolism	metabolic process; histidine biosynthetic process; spermidine biosynthetic process; oxidation-reduction process; response to UV; pollen development	268.67	274	245.33	276.67	289	191	337.67	160.33	285.67	224.33
AT2G43750	O-acetylserine (thiol) lyase B	amino acid metabolism	response to cadmium ion; pollen tube growth; positive regulation of transcription. DNA-dependent; oxidoreduction coenzyme metabolic process; glycine catabolic process; chlorophyll biosynthetic process; sulfur amino acid metabolic process; lipoate metabolic process; cysteine biosynthetic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; secondary metabolic process; indoleacetic acid biosynthetic process; cellular amino acid biosynthetic process; unsaturated fatty acid biosynthetic process; aromatic amino acid family metabolic process; aromatic amino acid family biosynthetic process; coenzyme biosynthetic process; sulfur compound biosynthetic process; cell differentiation; glucosinolate biosynthetic process; jasmonic acid biosynthetic process; leaf morphogenesis; double fertilization forming a zygote and endosperm; nucleotide metabolic process; vitamin metabolic process; response to cytokinin stimulus	1425.33	961.67	1793	1409.33	768	498.33	615.67	470.33	1196.33	506.67
AT3G61440	cysteine synthase C1	amino acid metabolism	detoxification of nitrogen compound; cysteine biosynthetic process; glycolysis; glucosinolate biosynthetic process; immune response; root hair cell development; Golgi organization; indoleacetic acid biosynthetic process; cyanide metabolic process; cyanide catabolic process; hydrogen peroxide catabolic process; hyperosmotic response; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; response to fructose stimulus; water transport; response to salt stress; response to cadmium ion; response to temperature stimulus; regulation of protein localization	350.33	542.67	303.67	483.67	167.33	430.33	166.33	308	423	559.67
AT3G22460	O-acetylserine (thiol) lyase (OAS-TL) isoform A2	amino acid metabolism	cysteine biosynthetic process from serine; metabolic process; cysteine biosynthetic process; response to zinc ion	505.33	190.33	595.33	227.67	263.67	172	214.33	152.67	334.67	130
AT1G67280	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein	Biodegradation of Xenobiotics.lactoylglutathione lyase	carbohydrate metabolic process; response to cold; methylglyoxal catabolic process to D-lactate	394.33	654.67	449	619.67	461	480.33	368.67	301.33	449	513
AT1G11840	glyoxalase I homolog	Biodegradation of Xenobiotics.lactoylglutathione lyase	response to cadmium ion; glycolysis; response to salt stress; gluconeogenesis; cysteine biosynthetic process; methylglyoxal catabolic process to D-lactate; carbohydrate metabolic process	114.67	244	135	219	363.67	188.33	350.33	115.67	195.67	218.33
AT5G14780	formate dehydrogenase	C1-metabolism	oxidation-reduction process; response to wounding; metabolic process; response to cadmium ion	315	993	397.33	753.67	853.67	581.67	740	327.33	526	204.33
AT1G50480	10-formyltetrahydrofolate synthetase	C1-metabolism	folic acid-containing compound biosynthetic process; response to cadmium ion; response to cytokinin stimulus	309	229	438.33	241.33	560	377.67	515	367.67	307.67	315.33
AT4G37930	serine transhydroxymethyltransferase 1	C1-metabolism	response to light stimulus; photorespiration; defense response to bacterium; photosynthesis. light reaction; glycine decarboxylation via glycine cleavage system; plant-type hypersensitive response; defense response. incompatible interaction; response to cold; L-serine metabolic process; salicylic acid biosynthetic process; circadian rhythm; response to cadmium ion; glycine metabolic process	3159.67	2685.33	3152.67	2474.33	7066.67	2812.33	7871.67	2382.33	4004.67	2998.67
AT5G26780	serine hydroxymethyltransferase 2	C1-metabolism	response to glucose stimulus; glycine metabolic process; L-serine metabolic process; response to sucrose stimulus; response to fructose stimulus	1391.67	1162	1580	1239.67	3577	1297	3411	1035	1769	1282
AT4G13930	serine hydroxymethyltransferase 4	C1-metabolism	response to cadmium ion; circadian rhythm; glycine metabolic process; L-serine metabolic process	409.67	531.67	426.67	501	423	301.67	352	241.67	483.33	358.33
AT3G12290	Amino acid dehydrogenase family protein	C1-metabolism	folic acid-containing compound biosynthetic process; cysteine biosynthetic process; Golgi vesicle transport; oxidation-reduction process; cellulose biosynthetic process	407.67	349	402.33	383.67	412.33	228.67	373	193.33	378.67	267
AT3G10160	DHFS-FPGS homolog C	C1-metabolism	one-carbon metabolic process; photorespiration; seedling development	71	95	94.33	121.67	110.67	408.33	84.33	437	69	196.33
AT2G45470	FASCICLIN-like arabinogalactan protein 8	cell wall	regulation of cell size; plant-type cell wall organization; plant-type cell wall biogenesis; growth; root morphogenesis; pattern specification process; auxin polar transport	374.33	199	320.33	202.67	88	19.67	31	30.33	264.67	99
AT3G22440	FRIGIDA-like protein	cell wall	protein import into peroxisome matrix; ; fatty acid beta-oxidation; nuclear-transcribed mRNA catabolic process	82.33	200.67	89.33	184.67	112	211.33	137	262	130	245.67
AT2G25540	cellulose synthase 10	cell wall	cellulose biosynthetic process; plant-type cell wall biogenesis	612.33	806.67	798	647.67	245.33	168.33	194.67	180.67	664.33	615.67
AT5G09870	cellulose synthase 5	cell wall	response to cyclopentenone; cellulose metabolic process; cellulose biosynthetic process; plant-type cell wall biogenesis; mucilage biosynthetic process; cell growth; cell wall biogenesis	373	440.67	449.67	329	122.33	57.33	74	63.33	330.33	303
AT2G21770	cellulose synthase A9	cell wall	seed coat development; cellulose biosynthetic process; plant-type cell wall biogenesis	349	445	432.67	302.67	111.33	46.67	65.33	56.67	323.33	289.33
AT5G17420	Cellulose synthase family protein	cell wall	xylem development; cell wall macromolecule metabolic process; vegetative to reproductive phase transition of meristem; glucuronoxylan metabolic process; cellulose biosynthetic process; protein desumoylation; secondary cell wall biogenesis; rhamnogalacturonan I side chain metabolic process; hydrogen peroxide biosynthetic process; plant-type cell wall biogenesis; xylan biosynthetic process; cell wall biogenesis	204.33	242.67	264.33	240	104.33	64.33	79	56	199.67	190.67
AT5G65730	xyloglucan endotransglucosylase/hydrolase 6	cell wall	response to salt stress; response to cold; response to desiccation; cellular glucan metabolic process; carbohydrate metabolic process; response to water deprivation; response to abscisic acid stimulus	402	551.67	393	454.33	101	71	77	38.67	272	554.33
AT1G26770	expansin A10	cell wall	plant-type cell wall loosening; plant-type cell wall organization; plant-type cell wall modification involved in multidimensional cell growth; syncytium formation; unidimensional cell growth	117.33	238.67	119.67	321.33	12.67	401	6.67	414	61.33	224
AT4G37800	xyloglucan endotransglucosylase/hydrolase 7	cell wall	carbohydrate metabolic process; cellular glucan metabolic process; glucosinolate biosynthetic process	308.67	223.67	306.67	180.67	90	50.67	78.67	26	215	185.67
AT1G08200	UDP-D-apiose/UDP-D-xylose synthase 2	cell wall	nucleotide-sugar biosynthetic process; cellular metabolic process	236.33	212.33	242	204.33	66.33	118	50.33	166.33	260	173.33
AT3G23820	UDP-D-glucuronate 4-epimerase 6	cell wall	cellular metabolic process; nucleotide-sugar metabolic process; indoleacetic acid biosynthetic process; tryptophan catabolic process; carbohydrate metabolic process	124.67	452.33	133.67	313	55.33	87.33	14	57.33	105.67	248.33
AT2G39770	Glucose-1-phosphate adenylyltransferase family protein	cell wall	cellulose biosynthetic process; response to heat; cytoskeleton organization; proteasomal protein catabolic process; biosynthetic process; response to salt stress; response to ammonium ion; response to jasmonic acid stimulus; response to ozone; L-ascorbic acid biosynthetic process; defense response to bacterium; gluconeogenesis; glucose catabolic process	181.33	411.67	198	448	103.33	218.67	103.33	214.33	196.33	217.67
AT5G23040	Protein of unknown function (DUF3353)	cell death	cell death	133.33	288	121	303.33	246.33	354	263.67	384.33	145	316.67
AT3G44880	Pheophorbide a oxygenase family protein with Rieske [2Fe-2S] domain	cell death	cell death; iron-sulfur cluster assembly; thylakoid membrane organization; chlorophyll catabolic process; leaf morphogenesis; ovule development; oxidation-reduction process; defense response to bacterium. incompatible interaction; embryo development ending in seed dormancy; positive regulation of transcription. DNA-dependent; vegetative to reproductive phase transition of meristem; fruit development; flower development; cell differentiation	154.67	224.33	163	162.67	225	114	240.33	85	212	203.67
AT2G16600	rotamase CYP 3	cell.cycle	protein folding; signal transduction	924.33	332.33	824.33	331	580	136.67	666.67	151	992	299.33
AT2G21130	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein	cell.cycle	response to water deprivation; response to cold; protein folding; circadian rhythm; response to abscisic acid stimulus	739.67	251.33	696.33	300.67	515	106.67	526.67	118.33	798.33	219.67
AT3G62030	rotamase CYP 4	cell.cycle	signal transduction; protein folding; response to abscisic acid stimulus; response to oxidative stress; sulfur amino acid metabolic process; chlorophyll biosynthetic process; response to cold; aromatic amino acid family metabolic process; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; cysteine biosynthetic process; photosynthesis. light reaction; cell differentiation; lipoate metabolic process; jasmonic acid biosynthetic process; defense response. incompatible interaction; defense response to bacterium; sulfur compound biosynthetic process; response to mannitol stimulus; unsaturated fatty acid biosynthetic process; response to high light intensity; aromatic amino acid family biosynthetic process; response to sucrose stimulus; regulation of proton transport; response to cytokinin stimulus; response to salt stress; protein peptidyl-prolyl isomerization; response to blue light; nucleotide metabolic process; salicylic acid biosynthetic process; positive regulation of transcription. DNA-dependent; secondary metabolic process; protein targeting to chloroplast; glycine catabolic process; coenzyme biosynthetic process; oxidoreduction coenzyme metabolic process; response to light intensity; vitamin metabolic process; response to red light; cellular amino acid biosynthetic process; leaf morphogenesis; response to far red light	456	201.67	463.67	337	618	295	554.33	235	322	190
AT2G18040	peptidylprolyl cis rans isomerase. NIMA-interacting 1	cell.cycle	gluconeogenesis; response to misfolded protein; response to cadmium ion; regulation of cell cycle; glycolysis; hyperosmotic response; Golgi organization; ubiquitin-dependent protein catabolic process; response to temperature stimulus; proteasome core complex assembly; response to salt stress; water transport; photorespiration	106	172	105	220	169	268.33	184.33	277	166.33	194.67
AT5G48570	FKBP-type peptidyl-prolyl cis-trans isomerase family protein	cell.cycle	protein peptidyl-prolyl isomerization; protein folding; N-terminal protein myristoylation; response to heat; peptidyl-proline modification; response to endoplasmic reticulum stress; response to hydrogen peroxide; cellular heat acclimation; response to high light intensity	226.33	144.67	280	134.33	314	41	230.33	27.67	209.33	93
AT2G36250	Tubulin/FtsZ family protein	cell.division	chloroplast fission; GTP catabolic process; protein polymerization	212.67	302.67	233	305.67	315.33	250.33	292	230.67	224	228.33
AT3G09840	cell division cycle 48	cell.division	phosphorylation; pollen tube growth; protein glycosylation; response to cadmium ion; defense response to bacterium; cell division; pollen germination	242.33	285.67	279.67	209.33	325.33	159.67	305.33	163	335.33	232
AT3G63190	ribosome recycling factor. chloroplast precursor	cell.division	chloroplast organization; iron-sulfur cluster assembly; pentose-phosphate shunt; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway; defense response to bacterium; translation; defense response to fungus. incompatible interaction; embryo development; plastid translation; dolichol biosynthetic process; thylakoid membrane organization; aromatic amino acid family biosynthetic process	162.67	200.33	173	330.67	232.33	211.67	201.67	134	114.33	134
AT3G26100	Regulator of chromosome condensation (RCC1) family protein	cell.division		63.67	246.67	73	241.33	123.33	216.67	189.67	270.67	97.67	205
AT5G09810	actin 7	cell.organisation	cytoskeleton organization; root epidermal cell differentiation; seed germination; root hair elongation; response to light stimulus; root development; cell division; proteasomal protein catabolic process; regulation of protein localization; response to wounding; gluconeogenesis; glucose catabolic process; response to auxin stimulus	1045	2269	1024.67	1933.33	895.33	1923	983	1732.33	1205.33	2430.33
AT1G04820	tubulin alpha-4 chain	cell.organisation	acetyl-CoA metabolic process; GTP catabolic process; protein polymerization; microtubule-based process; cytoskeleton organization; proteasomal protein catabolic process; cellular response to gravity; response to cadmium ion; gluconeogenesis; microtubule-based movement	1656.67	1186	1626.67	1446.33	445	441	470	393	1781.67	694.67
AT1G50010	tubulin alpha-2 chain	cell.organisation	protein polymerization; response to salt stress; microtubule-based process; GTP catabolic process; microtubule-based movement	1330	1003.67	1346.67	1149.67	426.67	303.67	456.33	262.67	1440.33	528.67
AT1G49240	actin 8	cell.organisation	proteasomal protein catabolic process; root hair cell tip growth; cytoskeleton organization; Golgi vesicle transport; response to salt stress; cell growth; response to osmotic stress; cell morphogenesis; response to cadmium ion; gluconeogenesis	455	995.33	427.33	808.33	382.67	848.67	426.67	798.67	513.33	1055
AT2G29550	tubulin beta-7 chain	cell.organisation	response to cadmium ion; response to salt stress; microtubule-based process; cytoskeleton organization; regulation of meristem growth; protein polymerization; proteasomal protein catabolic process; gluconeogenesis; GTP catabolic process; microtubule-based movement	1020	485	1026.67	589.33	309	190.67	257.67	182.67	1102.67	459.33
AT5G19770	tubulin alpha-3	cell.organisation	cellular response to gravity; microtubule-based process; GTP catabolic process; protein polymerization; microtubule-based movement	783	643.67	854.33	596	417.67	321.33	416.33	278.33	804	425
AT5G62690	tubulin beta chain 2	cell.organisation	microtubule-based movement; response to cold; response to salt stress; GTP catabolic process; microtubule-based process; protein polymerization; response to cadmium ion	1109.33	430.33	1055.67	494.33	270	137.67	222.67	131	1110	352.67
AT4G14960	Tubulin/FtsZ family protein	cell.organisation	cellular response to gravity; Golgi vesicle transport; microtubule-based movement; cell morphogenesis; proteasomal protein catabolic process; protein polymerization; GTP catabolic process; response to salt stress; microtubule cytoskeleton organization; cytoskeleton organization; microtubule-based process; cell growth; gluconeogenesis	772.33	625.67	818.33	727.33	284.67	227	316	197.33	857.33	343
AT1G64740	alpha-1 tubulin	cell.organisation	microtubule-based process; protein polymerization; gluconeogenesis; microtubule-based movement; GTP catabolic process; cytoskeleton organization; proteasomal protein catabolic process	669.67	525	641	526	275.33	265	285.33	231.67	638.33	321
AT5G12250	beta-6 tubulin	cell.organisation	protein polymerization; hyperosmotic response; cytoskeleton organization; cell tip growth; root hair elongation; microtubule-based process; response to salt stress; gibberellic acid mediated signaling pathway; GTP catabolic process; response to cold; cell wall organization; seed dormancy process; gluconeogenesis; proteasomal protein catabolic process; anthocyanin accumulation in tissues in response to UV light; glycolysis; acetyl-CoA metabolic process; multidimensional cell growth; response to cadmium ion; brassinosteroid biosynthetic process; water transport; sterol biosynthetic process; polysaccharide biosynthetic process; regulation of hormone levels; cysteine biosynthetic process; Golgi organization; microtubule-based movement; response to temperature stimulus	741	328	795.33	351	199.67	93	156.67	87.33	807	257
AT5G10470	kinesin like protein for actin based chloroplast movement 1	cell.organisation	chloroplast avoidance movement; microtubule-based movement; chloroplast accumulation movement; preprophase band assembly; cytokinesis	82	354	98.33	436.33	157	546	139	629.67	116	831
AT3G12110	actin-11	cell.organisation	actin cytoskeleton organization; response to cyclopentenone; proteasomal protein catabolic process; cytoskeleton organization; gluconeogenesis	227.67	495.67	232.67	388.33	184.67	394	188.33	369.67	257	510.67
AT5G59880	actin depolymerizing factor 3	cell.organisation	glycolysis; response to cadmium ion; response to oxidative stress; gluconeogenesis; response to salt stress	274	434.33	261.67	415.33	214.67	319	196	274	288.33	314.33
AT2G19760	profilin 1	cell.organisation	actin filament organization; cytoskeleton organization; actin polymerization or depolymerization; unidimensional cell growth; actin cytoskeleton organization	279.33	392	274.33	342.67	184.67	277.33	200.33	238.33	254	317
AT5G23860	tubulin beta 8	cell.organisation	response to cyclopentenone; microtubule-based process; response to cold; response to salt stress; proteasomal protein catabolic process; cytoskeleton organization; GTP catabolic process; microtubule-based movement; protein polymerization; gluconeogenesis	503.67	299.33	478.33	236.67	102.33	92.67	85.67	78.67	532.33	253.67
AT1G01750	actin depolymerizing factor 11	cell.organisation	trichoblast differentiation; 	286	368	267.33	319.33	202.33	254.33	188	206.67	289.33	239.67
AT5G56600	profilin 3	cell.organisation	actin filament organization; seedling development; actin filament polymerization; regulation of unidimensional cell growth; cytoskeleton organization; seed germination	223.33	334.67	242.67	339.33	160	239	142.33	176.67	212	265.33
AT4G04020	fibrillin	cell.organisation	photoinhibition; response to cold; response to abscisic acid stimulus	210.33	102.33	236.67	73	504.67	51	390.67	33	365.67	54.67
AT1G50360	P-loop containing nucleoside triphosphate hydrolases superfamily protein	cell.organisation	intracellular protein transport; xylan biosynthetic process; actin filament-based movement; plant-type cell wall biogenesis; glucuronoxylan metabolic process	83.33	259.67	104	243	149	216	152.67	235.67	121.33	264.67
AT1G20010	tubulin beta-5 chain	cell.organisation	proteasomal protein catabolic process; microtubule-based process; GTP catabolic process; gluconeogenesis; microtubule-based movement; protein polymerization; cytoskeleton organization	290.67	168.67	310.67	186	98.33	61	76.33	60	345.67	165.67
AT1G51110	Plastid-lipid associated protein PAP / fibrillin family protein	cell.organisation	thylakoid membrane organization; pentose-phosphate shunt; tryptophan biosynthetic process	277	101.67	259.67	97	244.67	32	265	23.67	263.67	48.67
AT1G01820	peroxin 11c	cell.organisation	peroxisome fission; systemic acquired resistance; peroxisome organization; regulation of defense response	71.67	203.67	88.33	241	115.33	236.33	103.33	249.67	99	197.67
AT1G15730	Cobalamin biosynthesis CobW-like protein	cell.organisation		200.33	70	235	91.33	292.33	91.33	281.67	84.33	180	65.67
AT3G11130	Clathrin. heavy chain	cell.vesicle transport	intracellular protein transport; endocytosis; vesicle-mediated transport	223.67	268	302	237	211.33	281.67	269	357	330.67	332
AT3G08530	Clathrin. heavy chain	cell.vesicle transport	intracellular protein transport; vesicle-mediated transport; endocytosis	169.67	236.33	264	207.33	188.33	245	225.67	313.33	266.33	308
AT1G04750	vesicle-associated membrane protein 721	cell.vesicle transport	protein targeting to plasma membrane; vesicle-mediated transport; cell plate formation involved in plant-type cell wall biogenesis; transport	152.33	344.33	145.33	317	151.67	335	164.33	299.33	202.33	304.33
AT1G04760	vesicle-associated membrane protein 726	cell.vesicle transport	vesicle-mediated transport; sepal formation; petal formation; transport	94	251.67	82.67	209	93.33	239.67	102	234	120.67	210.67
AT5G01410	Aldolase-type TIM barrel family protein	Co-factor and vitamine metabolism	cellular amino acid metabolic process; pyridoxine biosynthetic process; hyperosmotic salinity response; response to absence of light; pentose-phosphate shunt; pyridoxal phosphate biosynthetic process; response to oxidative stress; positive regulation of catalytic activity; response to UV-B; vitamin B6 biosynthetic process; response to salt stress; metabolic process; chlorophyll metabolic process; response to non-ionic osmotic stress; starch biosynthetic process; maltose metabolic process; response to lipid hydroperoxide	332.33	783	258.33	631.33	310.33	451	227	286.67	402.33	659.67
AT1G60550	enoyl-CoA hydratase/isomerase D	Co-factor and vitamine metabolism	metabolic process; menaquinone biosynthetic process; vitamin K biosynthetic process	356.33	269.67	393.33	331.67	277	342	214.33	364.67	303	286.33
AT5G20990	molybdopterin biosynthesis CNX1 protein / molybdenum cofactor biosynthesis enzyme CNX1 (CNX1)	Co-factor and vitamine metabolism	Mo-molybdopterin cofactor biosynthetic process; MAPK cascade; abscisic acid mediated signaling pathway; regulation of plant-type hypersensitive response; negative regulation of defense response; molybdopterin cofactor biosynthetic process; response to cold; endoplasmic reticulum unfolded protein response; auxin mediated signaling pathway; systemic acquired resistance. salicylic acid mediated signaling pathway; protein targeting to membrane; jasmonic acid mediated signaling pathway; defense response to fungus; cell communication; negative regulation of programmed cell death	107.33	205.67	146.33	251.67	242.33	314	242.33	360.67	145.33	226
AT4G32180	pantothenate kinase 2	Co-factor and vitamine metabolism	coenzyme A biosynthetic process; protein N-linked glycosylation	123	228.33	134	175.33	156.33	138	157.67	123.67	200.33	184.33
AT5G54770	thiazole biosynthetic enzyme. chloroplast (ARA6) (THI1) (THI4)	Co-factor and vitamine metabolism	maltose metabolic process; response to cold; thiamine biosynthetic process; regulation of proton transport; protein autophosphorylation; positive regulation of catalytic activity; response to DNA damage stimulus; defense response to bacterium; starch biosynthetic process; response to blue light; oxazole or thiazole biosynthetic process	1037	402	699	559.67	692	22	993.33	11.67	576	58
AT2G29630	thiaminC	Co-factor and vitamine metabolism	starch biosynthetic process; glucosinolate metabolic process; thiamine biosynthetic process; response to vitamin B1; positive regulation of catalytic activity; maltose metabolic process; detection of bacterium; pentose-phosphate shunt; isopentenyl diphosphate biosynthetic process. mevalonate-independent pathway	234	306.33	172.33	421	357.33	41.67	526	16	266	27
AT1G50030	target of rapamycin	development	cytokinesis by cell plate formation; trichome morphogenesis; meiotic chromosome segregation; actin nucleation; negative regulation of autophagy; post-embryonic development; positive regulation of transcription. DNA-dependent; seed development; positive regulation of organelle organization; primary shoot apical meristem specification; toxin catabolic process; sister chromatid cohesion; positive regulation of cell growth; positive regulation of embryonic development; embryo development ending in seed dormancy; meiotic DNA double-strand break formation; root hair cell differentiation; cell division; embryo development; reciprocal meiotic recombination; regulation of cell differentiation; tissue development; cell wall organization; regulation of chromosome organization; organ morphogenesis; positive regulation of rRNA processing; seed maturation; cell adhesion; rRNA transcription; vegetative to reproductive phase transition of meristem; embryonic pattern specification	79.33	192	132.33	193.33	158.33	231.33	188.33	308.67	126	304.33
AT1G15270	Translation machinery associated TMA7	development		275	435.67	239.67	350	339.67	261	344.33	196	294.67	270.33
AT3G16640	translationally controlled tumor protein	development	response to cytokinin stimulus; lateral root development; mitosis; regulation of cell growth; root hair cell tip growth; post-embryonic development; positive regulation of microtubule depolymerization; defense response to bacterium; auxin mediated signaling pathway; pollen tube growth; root development; auxin homeostasis; embryo development; regulation of multicellular organism growth; response to cadmium ion; drought recovery; cell proliferation; regulation of stomatal closure; regulation of mitotic cell cycle	642.67	1447.33	623.67	1257	1682.33	2561.67	2005.67	2470.33	947.33	1872.67
AT1G28330	dormancy-associated protein-like 1	development	response to fructose stimulus; response to sucrose stimulus; response to glucose stimulus	96.33	984	83	930.33	510	986.67	1243.33	1632.33	163.33	938
